,neighborhood,postal_code,poi_count
234,MAAGUIZE,20600.0,18
235,MAARIF,20330.0,70
236,MAARIF,20370.0,3
237,MAARIF EXTENTION,20370.0,3
238,MABROUKA,20280.0,3
239,MABROUKA D SAMIA,20670.0,3
240,MABROUKA MY LARBI ALAOUI,20670.0,11
241,MABROUKA SALAMA III,20670.0,11
242,MADINAT ENNOUR,20640.0,4
243,MADINATI,20620.0,148
244,MAHDIA,20340.0,18
245,MANDARONA,20460.0,10
246,MANDAROUNA,20270.0,10
247,MASSIRA,20660.0,7
248,MASSIRA II HAY RAJA II,20670.0,13
249,MASSIRA JDIDA,20660.0,11
250,MAZOLA,20220.0,31
251,MECHOUAR,20490.0,22
252,MEDINA 1,20020.0,148
253,MEDINA 2,20030.0,4
254,MERS SULTAN,20490.0,25
255,MERS SULTAN SECTEUR 1,20130.0,112
256,MERS SULTAN SECTEUR 2,20140.0,26
257,MIMARZA,20630.0,7
258,MIMOUSAS,20580.0,13
259,MISSIMI,20220.0,31
260,MY RACHID (IMMEBLE),20670.0,11
261,MY RACHID G3,20660.0,10
262,MY RACHID G5 ET 6,20660.0,7
263,MY RACHID GROUP 1,20660.0,11
264,MY RACHID II DIAR ESSALAM,20670.0,11
265,MY THAMI,20240.0,148
266,M’ZOUGA,20170.0,5
267,NADIA,20390.0,41
268,NAJAM,20280.0,3
269,NASSIM,20190.0,1
270,NEJMA,20230.0,9
271,NEZHA,20580.0,13
272,OASIS,20410.0,23
273,OMARIA,20460.0,10
274,OPERATION LISSASSFA,20190.0,20
275,OULED TALEB,20460.0,10
276,OULFA,20220.0,31
277,PALMIER,20340.0,18
278,PALOMA 1 ET 2,20580.0,14
279,PAM,20280.0,3
280,PANORAMA,20620.0,148
281,PARANFA,20170.0,2
282,PARC DE LA LEAGUE ARABE,20070.0,23
283,PARTIE DE CASA GARE,20560.0,9
284,POLO,20420.0,4
285,PROJET HASSAN II,20570.0,67
286,RACINE,20100.0,12
287,RAHA,20200.0,21
288,RAJA,20230.0,23
289,RIAD CALIFORNIA,20420.0,11
290,RIAD EL ALI,20550.0,17
291,RIAD OULFA,20240.0,8
292,RIVIERA,20410.0,17
293,ROKIA,20280.0,3
294,ROMANDIE,20330.0,70
295,RÉSIDANCE AL AMAL AL WAHA,20630.0,3
296,RÉSIDANCE AL ITIMADE,20630.0,148
297,RÉSIDANCE ANSSAE,20520.0,1
298,RÉSIDANCE CHARAF TAROUDANTE,20640.0,156
299,RÉSIDANCE KARAM DALIA,20630.0,18
300,RÉSIDANCE MERS ZINEB 1 ET 2,20400.0,4
301,RÉSIDANCE YAKINE AL AL ALAA,20640.0,148
302,R’MILLA,20470.0,16
303,S.OTHMANE BALADIA,20700.0,9
304,S.OTHMANE JDID,20700.0,18
305,SAAD LA KHIER,20230.0,10
306,SAADA,20280.0,20
307,SALAJ,20180.0,20
308,SALAMA III,20670.0,11
309,SALMIA I H ENNOUR I,20440.0,49
310,SALMIA II,20700.0,148
311,SALMIA II FERREILLE,20700.0,6
312,SIDI ABDELLAH BEN LHAJ,20580.0,1
313,SIDI ABDERRAHMANE,20240.0,4
314,SIDI BELYOUT  HORLOGE,20000.0,145
315,SIDI BERNOUSSI,20600.0,27
316,SIDI KHADIR,20230.0,9
317,SIDI MAAROUF 5,20520.0,17
318,SIDI MAARTOUF 4 ET 6,20520.0,7
319,SIDI MOUMEN JDID G 7-8-9,20400.0,10
320,SIDI MOUMEN JDID G1-2,20400.0,2
321,SIDI MOUMEN JDID G3-4-5,20400.0,6
322,SIDI MOUMEN LAKDIM,20400.0,2
323,SIDI MOUMEN LAKDIM,20640.0,15
324,SIDI OTHMANE,20700.0,10
325,SIDI OTHMANE 1,20700.0,17
326,SMARA,20240.0,148
327,SOUFIANE,20280.0,3
328,SOUK KOREA,20520.0,18
329,TAKADOUM,20560.0,10
330,TAKADOUM,20600.0,18
331,TARIK,20600.0,18
332,TARIK EL KHEIR,20610.0,148
333,TASSAHOUL,20160.0,1
334,TOULOUTE BRAICHA,20050.0,148
335,VAL D’ANFA,20170.0,2
336,VAL FLEURIE,20390.0,33
337,WARDA,20230.0,29
338,WIAM,20240.0,148
339,WIDAD,20230.0,9
340,WIFAK 1 ET 2,20240.0,12
341,WIFAK 3 ET 4,20240.0,15
342,Z I HAY RAHMA,20660.0,6
343,Z.I AIN SEBAA,20590.0,1
344,Z.I BERNOUSSI,20590.0,137
345,ZAKIA,20280.0,3
346,ZARHOUNE WALILI,20630.0,7
347,ZENATA,20580.0,13
348,ZINEB,20260.0,4
349,ZONE INDUSTRIELLE,20190.0,1
350,ZONE INDUSTRIELLE,20270.0,16
351,ZONE INDUSTRIELLE,20280.0,3
352,ZOUBAIR,20260.0,4
