,neighborhood,postal_code,latitude,longitude
293,OULFA,20220,33.55698,-7.67782
294,PALMIER,20340,33.57117,-7.63348
295,PALOMA 1 ET 2,20580,33.55816,-7.60662
296,PAM,20280,33.50828,-7.66245
297,PANORAMA,20620,33.59646,-7.61548
298,PARANFA,20170,33.59509,-7.65967
299,PARC DE LA LEAGUE ARABE,20070,33.5565,-7.63029
300,PARTIE DE CASA GARE,20560,33.59367,-7.55973
301,POLO,20420,33.55632,-7.61655
302,PROJET HASSAN II,20570,33.58793,-7.62109
303,RÉSIDANCE AL ITIMADE,20630,33.59646,-7.61548
304,RÉSIDANCE AL AMAL AL WAHA,20630,33.57268,-7.5772
305,RÉSIDANCE ANSSAE,20520,33.56968,-7.70521
306,RÉSIDANCE CHARAF TAROUDANTE,20640,33.59263,-7.61542
307,RÉSIDANCE KARAM DALIA,20630,33.5491,-7.48466
308,RÉSIDANCE MERS ZINEB 1 ET 2,20400,33.59504,-7.49754
309,RÉSIDANCE YAKINE AL AL ALAA,20640,33.59646,-7.61548
310,RACINE,20100,33.59461,-7.6467
311,RAHA,20200,33.56815,-7.6498
312,RAJA,20230,33.56646,-7.62358
313,RIAD CALIFORNIA,20420,33.56014,-7.61835
314,RIAD EL ALI,20550,33.57785,-7.61089
315,RIAD OULFA,20240,33.55587,-7.7044
316,RIVIERA,20410,33.55868,-7.63805
317,RIYAD ANFA,20050,33.16277,-7.38986
318,R’MILLA,20470,33.55653,-7.60006
319,ROKIA,20280,33.50828,-7.66245
320,ROMANDIE,20330,33.58367,-7.63553
321,ROUTE BEN SLIMANE KM 65 À 82,20640,33.56399,-7.49717
322,S.OTHMANE BALADIA,20700,33.5699,-7.56404
323,S.OTHMANE JDID,20700,33.60367,-7.62033
324,SAAD LA KHIER,20230,33.57987,-7.59664
325,SAADA,20280,33.51861,-7.64969
326,SALAJ,20180,33.5908,-7.6503
327,SALAMA III,20670,33.55608,-7.55251
328,SALMIA I H ENNOUR I,20440,33.5824,-7.61106
329,SALMIA II,20700,33.59646,-7.61548
330,SALMIA II FERREILLE,20700,33.37114,-7.53572
331,SDI BERNOUSSI,20610,33.62702,-7.50229
332,SIDI ABDELLAH BEN LHAJ,20580,33.62022,-7.51985
333,SIDI ABDERRAHMANE,20240,33.56974,-7.66217
334,SIDI BELYOUT  HORLOGE,20000,33.59755,-7.61439
335,SIDI BERNOUSSI,20600,33.60717,-7.50495
336,SIDI KHADIR,20230,33.57886,-7.59604
337,SIDI MAAROUF 5,20520,33.56784,-7.61941
338,SIDI MAARTOUF 4 ET 6,20520,33.57804,-7.54814
339,SIDI MOUMEN JDID G 7-8-9,20400,33.57674,-7.52175
340,SIDI MOUMEN JDID G1-2,20400,33.59972,-7.49626
341,SIDI MOUMEN JDID G3-4-5,20400,33.58284,-7.52305
342,SIDI MOUMEN LAKDIM,20400,33.59972,-7.49626
343,SIDI MOUMEN LAKDIM,20640,33.57249,-7.65776
344,SIDI OTHMANE,20700,33.55563,-7.55209
345,SIDI OTHMANE 1,20700,33.56127,-7.56312
346,SMARA,20240,33.59646,-7.61548
347,SOUFIANE,20280,33.50828,-7.66245
348,SOUK KOREA,20520,33.56396,-7.59892
349,TAKADOUM,20560,33.58243,-7.5531
350,TAKADOUM,20600,33.60914,-7.51611
351,TARIK,20600,33.60914,-7.51611
352,TARIK EL KHEIR,20610,33.59646,-7.61548
353,TASSAHOUL,20160,33.60207,-7.65339
354,TOULOUTE BRAICHA,20050,33.59646,-7.61548
355,VAL D’ANFA,20170,33.59509,-7.65967
356,VAL FLEURIE,20390,33.57215,-7.63829
357,WARDA,20230,33.60864,-7.53566
358,WIAM,20240,33.59646,-7.61548
359,WIDAD,20230,33.57886,-7.59604
360,WIFAK 1 ET 2,20240,33.57375,-7.52195
361,WIFAK 3 ET 4,20240,33.5595,-7.55803
362,YASMINA,20480,33.52679,-7.57864
363,Z I HAY RAHMA,20660,33.58401,-7.57559
364,Z.I AIN SEBAA,20590,33.6089,-7.55559
365,Z.I BERNOUSSI,20590,33.59387,-7.6126
366,ZAKIA,20280,33.50828,-7.66245
367,ZARHOUNE WALILI,20630,33.59004,-7.49334
368,ZENATA,20610,33.62702,-7.50229
369,ZENATA,20580,33.53768,-7.58033
370,ZINEB,20260,33.53651,-7.6952
371,ZONE INDUSTRIELLE,20280,33.50828,-7.66245
372,ZONE INDUSTRIELLE,20270,33.52465,-7.65353
373,ZONE INDUSTRIELLE,20190,33.52567,-7.67459
374,ZONE INDUSTRIELLE OUKACHA,20580,33.62833,-7.50674
375,ZOUBAIR,20260,33.53651,-7.6952
